name,address,lat,lng,id,place_id,price_level
Szechuan Gourmet,"1395 2nd Avenue, New York",40.7693657,-73.9582869,d0ef8a291ff1488f5bcdccc917c382b4e294fb70,ChIJXZQqNsBYwokROns-iCbhjtw,2
PJ Bernstein Deli Restaurant,"1215 3rd Avenue, New York",40.7685149,-73.9612517,1452933e2cc7e2f43339b4b05502a7490fac8688,ChIJSeZ4ROpYwokRQtjtlj5Phuw,2
Mariella Pizza,"965 Lexington Avenue, New York",40.769162,-73.96287,68fb8ba2392b4558e72d89869fefd5f4101aa4e7,ChIJR7AxqetYwokRYh9Qwa3NJkk,2
Bella Blu,"967 Lexington Avenue, New York",40.769239,-73.9628493,c1d38aad9756ddb343a2273b5953b12dc28ab79a,ChIJ4Up-r-tYwokR95jJFUROzH0,2
Neil's Coffee Shop,"961 Lexington Avenue, New York",40.76895,-73.9630715,ad80f9cb25a0cd2cdcd1fad1657aa56a1e58ff8f,ChIJ8Q7mr-tYwokRp0ASXm12lSE,2
Garden Court Caf?,"725 Park Avenue, New York",40.7698489,-73.9642858,ef081f65d200c87cc8c2e5cc8cfca5999ca3dd6a,ChIJv38md-tYwokRczxW9AuF0VQ,2
Afghan Kebab House,"1345 2nd Avenue, New York",40.768093,-73.9592231,97b1ed69b6f73540a1e3a98ddffd2b5e407562ef,ChIJT-AU3MFYwokRJp9A11wUP64,2
Jean Claude 2,"1343 2nd Avenue, New York",40.7680024,-73.9592682,116f26915d1637d9b582bf986d4d0d5a41da32d2,ChIJJWIu3MFYwokRO6bD0fHa17s,2
Phoenix Park,"206 East 67th Street, New York",40.7661471,-73.9625117,24f95dd43a25af8fa290be9d23f5a2ec2864bd50,ChIJW70UdulYwokR6o6uJlLUx-Y,2
Mediterraneo,"1260 2nd Avenue, New York",40.7650351,-73.9608097,97146efdba5944b97cfd36d780d90a1fbca367b2,ChIJF_T6x-lYwokR4NQQK1Vt0rM,2
